Script started! (v. 3)

Number of items: 51; Items: PTN1,PTN2,PTN3,PTN4,PTN5,PTN6,PTN7,PTN8,PTN9,PTN10,PTN11,PTN12,PTN13,PTN14,PTN15,PTN16,PTN17,PTN18,PTN19,PTN20,PTN21,PTN22,PTN23,PTN24,PTN25,PTN26,PTN27,PTN28,PTN29,PTN30,PTN31,PTN32,PTN33,PTN34,PTN35,PTN36,PTN37,PTN38,PTN39,PTN40,PTN41,PTN42,PTN43,PTN44,PTN45,PTN46,PTN47,PTN48,PTN49,PTN50,PTN51
 
About to process row no. 0 , that is: ['3', '2', '1', '2', '3', '1', '2', '0', '2', '3', '3', '1', '1', '1', '1', '3', '1', '3', '4', '3', '2', '1', '3', '2', '2', '2', '0', '3', '3', '2', '2', '3', '1', '2', '2', '1', '3', '3', '1', '2', '0', '2', '1', '0', '2', '2', '3', '1', '2', '2', '2'] 
====Evaluations: [3, 2, 1, 2, 3, 1, 2, 0, 2, 3, 3, 1, 1, 1, 1, 3, 1, 3, 4, 3, 2, 1, 3, 2, 2, 2, 0, 3, 3, 2, 2, 3, 1, 2, 2, 1, 3, 3, 1, 2, 0, 2, 1, 0, 2, 2, 3, 1, 2, 2, 2]=======
Ordered evaluations: [4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]
rank: 0, score 4 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 1, score 3 
rank: 15, score 2 
rank: 15, score 2 
rank: 15, score 2 
rank: 15, score 2 
rank: 15, score 2 
rank: 15, score 2 
rank: 15, score 2 
rank: 15, score 2 
