Problema,Numero Segnalazioni,Fascia di Gravità
PLINE1,2,A
PLINE2,0,C
PLINE3,0,C
PLINE4,0,C
PLINE5,0,C
PLINE6,0,C
PLINE7,0,C
PLINE8,0,C
PLINE9,0,C
PLINE10,4,A
PLINE11,4,A
PLINE12,0,C
PLINE13,0,C
PLINE14,0,C
PLINE15,0,C
PLINE16,0,C
PLINE17,0,C
PLINE18,3,A
PLINE19,6,A
PLINE20,5,A
PLINE21,0,C
PLINE22,0,C
PLINE23,2,A
PLINE24,0,C
PLINE25,0,C
PLINE26,0,C
PLINE27,0,C
PLINE28,1,B
PLINE29,0,C
PLINE30,0,C
PLINE31,0,C
PLINE32,0,C
PLINE33,0,C
PLINE34,0,C
PLINE35,0,C
PLINE36,0,C
PLINE37,1,B
PLINE38,0,C
PLINE39,0,C
PLINE40,0,C
PLINE41,0,C
PLINE42,0,C
PLINE43,0,C
PLINE44,0,C
PLINE45,1,B
PLINE46,0,C
PLINE47,1,B
PLINE48,0,C
PLINE49,0,C
PLINE50,0,C
PLINE51,0,C
