Problema,Numero Segnalazioni,Fascia di Gravità
PTN1,2,A
PTN2,0,C
PTN3,0,C
PTN4,0,C
PTN5,0,C
PTN6,0,C
PTN7,0,C
PTN8,0,C
PTN9,0,C
PTN10,4,A
PTN11,4,A
PTN12,0,C
PTN13,0,C
PTN14,0,C
PTN15,0,C
PTN16,0,C
PTN17,0,C
PTN18,3,A
PTN19,6,A
PTN20,5,A
PTN21,0,C
PTN22,0,C
PTN23,2,A
PTN24,0,C
PTN25,0,C
PTN26,0,C
PTN27,0,C
PTN28,1,B
PTN29,0,C
PTN30,0,C
PTN31,0,C
PTN32,0,C
PTN33,0,C
PTN34,0,C
PTN35,0,C
PTN36,0,C
PTN37,1,B
PTN38,0,C
PTN39,0,C
PTN40,0,C
PTN41,0,C
PTN42,0,C
PTN43,0,C
PTN44,0,C
PTN45,1,B
PTN46,0,C
PTN47,1,B
PTN48,0,C
PTN49,0,C
PTN50,0,C
PTN51,0,C
