Line,Mean,StdDev,Median,IQR
PLINE2,1.5,0.8366600265340756,1.0,0.75
PLINE3,0.8333333333333334,0.752772652709081,1.0,0.75
PLINE4,2.1666666666666665,0.983192080250175,2.0,0.0
PLINE5,2.6666666666666665,0.5163977794943222,3.0,0.75
PLINE6,0.3333333333333333,0.5163977794943223,0.0,0.75
PLINE7,2.3333333333333335,0.816496580927726,2.5,1.0
PLINE8,1.0,0.0,1.0,0.0
PLINE9,2.0,1.2649110640673518,1.5,1.75
PLINE10,1.1666666666666667,0.983192080250175,1.5,1.75
PLINE11,2.0,1.2649110640673518,1.5,1.75
PLINE12,0.6666666666666666,0.816496580927726,0.5,1.0
PLINE13,1.3333333333333333,0.5163977794943223,1.0,0.75
PLINE14,3.3333333333333335,1.211060141638997,4.0,0.75
PLINE15,0.5,1.224744871391589,0.0,0.0
PLINE16,1.6666666666666667,1.2110601416389966,1.0,0.75
PLINE17,1.5,0.8366600265340756,1.0,0.75
PLINE18,3.3333333333333335,1.211060141638997,4.0,0.75
