problema,significativo,valori,chi2,p_value
PTN1,True,"[0, 0, 2, 4, 0]",10.666666666666664,0.030577016627599155
PTN2,True,"[0, 4, 2, 0, 0]",10.666666666666664,0.030577016627599155
PTN3,False,"[0, 4, 1, 1, 0]",8.999999999999998,0.061099480960332735
PTN4,True,"[0, 1, 5, 0, 0]",15.666666666666664,0.003500670039299173
PTN5,False,"[0, 2, 2, 2, 0]",4.0,0.40600584970983794
PTN6,False,"[0, 3, 2, 1, 0]",5.666666666666667,0.22546314129598125
PTN7,False,"[0, 1, 4, 1, 0]",8.999999999999998,0.061099480960332735
PTN8,False,"[4, 1, 0, 0, 1]",8.999999999999998,0.061099480960332735
PTN9,False,"[2, 1, 3, 0, 0]",5.666666666666667,0.22546314129598125
PTN10,False,"[1, 0, 0, 4, 1]",8.999999999999998,0.061099480960332735
PTN11,False,"[0, 1, 0, 3, 2]",5.666666666666666,0.22546314129598127
PTN12,True,"[0, 5, 1, 0, 0]",15.666666666666664,0.003500670039299173
PTN13,False,"[1, 4, 0, 1, 0]",8.999999999999998,0.061099480960332735
PTN14,False,"[0, 3, 3, 0, 0]",9.0,0.06109948096033269
PTN15,True,"[1, 5, 0, 0, 0]",15.666666666666664,0.003500670039299173
PTN16,False,"[1, 2, 0, 3, 0]",5.666666666666667,0.22546314129598125
PTN17,False,"[0, 3, 2, 0, 1]",5.666666666666667,0.22546314129598125
PTN18,False,"[0, 0, 0, 3, 3]",9.0,0.06109948096033269
PTN19,True,"[0, 0, 0, 1, 5]",15.666666666666666,0.0035006700392991694
PTN20,False,"[0, 1, 1, 2, 2]",2.333333333333333,0.6747069851482951
PTN21,False,"[0, 0, 3, 2, 1]",5.666666666666666,0.22546314129598127
PTN22,False,"[0, 3, 1, 1, 1]",4.0,0.40600584970983794
PTN23,True,"[0, 0, 2, 4, 0]",10.666666666666664,0.030577016627599155
PTN24,False,"[0, 1, 3, 2, 0]",5.666666666666667,0.22546314129598125
PTN25,False,"[0, 0, 4, 1, 1]",8.999999999999998,0.061099480960332735
PTN26,False,"[0, 0, 4, 1, 1]",8.999999999999998,0.061099480960332735
PTN27,False,"[2, 3, 1, 0, 0]",5.666666666666667,0.22546314129598125
PTN28,False,"[0, 0, 1, 4, 1]",8.999999999999998,0.061099480960332735
PTN29,False,"[0, 0, 1, 3, 2]",5.666666666666666,0.22546314129598127
PTN30,False,"[0, 1, 4, 1, 0]",8.999999999999998,0.061099480960332735
PTN31,True,"[0, 2, 4, 0, 0]",10.666666666666664,0.030577016627599155
PTN32,False,"[0, 0, 3, 3, 0]",9.0,0.06109948096033269
PTN33,False,"[0, 3, 0, 3, 0]",9.0,0.06109948096033269
PTN34,False,"[0, 1, 3, 0, 2]",5.666666666666667,0.22546314129598125
PTN35,True,"[0, 0, 4, 2, 0]",10.666666666666664,0.030577016627599155
PTN36,False,"[0, 3, 3, 0, 0]",9.0,0.06109948096033269
PTN37,False,"[0, 1, 1, 4, 0]",8.999999999999998,0.061099480960332735
PTN38,True,"[0, 0, 2, 4, 0]",10.666666666666664,0.030577016627599155
PTN39,True,"[0, 5, 1, 0, 0]",15.666666666666664,0.003500670039299173
PTN40,False,"[0, 1, 4, 1, 0]",8.999999999999998,0.061099480960332735
PTN41,False,"[2, 3, 1, 0, 0]",5.666666666666667,0.22546314129598125
PTN42,True,"[0, 0, 4, 2, 0]",10.666666666666664,0.030577016627599155
PTN43,True,"[0, 5, 0, 1, 0]",15.666666666666664,0.003500670039299173
PTN44,True,"[5, 1, 0, 0, 0]",15.666666666666664,0.003500670039299173
PTN45,True,"[0, 0, 6, 0, 0]",23.999999999999996,7.987476059326688e-05
PTN46,True,"[1, 0, 5, 0, 0]",15.666666666666664,0.003500670039299173
PTN47,False,"[0, 0, 1, 4, 1]",8.999999999999998,0.061099480960332735
PTN48,False,"[0, 3, 3, 0, 0]",9.0,0.06109948096033269
PTN49,True,"[0, 2, 4, 0, 0]",10.666666666666664,0.030577016627599155
PTN50,False,"[0, 1, 4, 1, 0]",8.999999999999998,0.061099480960332735
PTN51,False,"[1, 3, 2, 0, 0]",5.666666666666667,0.22546314129598125
